No. Kad Pengenalan,Kata Laluan,Peranan,Status,Nama Penuh,Agensi,Email,Jawatan,Skim,Gred
000829043395,12345,Ketua Bahagian,enabled,Cempaka binti Anuar,Bahagian Istiadat dan Protokol,BIP_cempaka_binti_anuar1@dummyemail.test,Pegawai Tadbir,R,12
931219128568,12345,Penyelia,enabled,Hao Kee,Bahagian Istiadat dan Protokol,BIP_hao_kee2@dummyemail.test,Menteri,W,53
990716042706,12345,Ketua Jabatan,enabled,Qistina binti Raden,Bahagian Istiadat dan Protokol,BIP_qistina_binti_raden3@dummyemail.test,Pembantu Tadbir Operasi,U,33
020911036280,12345,Staf,enabled,Jun De Hang,Bahagian Istiadat dan Protokol,BIP_jun_de_hang4@dummyemail.test,Jawatan Hakiki Pembantu Setiausaha Pejabat,N,08
020829065578,12345,Pentadbir Agensi,enabled,Mahati Kumari,Bahagian Istiadat dan Protokol,BIP_mahati_kumari5@dummyemail.test,Penolong Pegawai Tadbir,B,26
951013047928,12345,Staf,enabled,Hao Ma,Bahagian Istiadat dan Protokol,BIP_hao_ma6@dummyemail.test,Pembantu Tadbir Operasi,G,35
000308020536,12345,Setiausaha Tetap,enabled,Harishata Kapoor,Bahagian Istiadat dan Protokol,BIP_harishata_kapoor7@dummyemail.test,Penolong Pegawai Tadbir,V,13
990422076335,12345,Staf,enabled,Izzat bin Saad,Bahagian Istiadat dan Protokol,BIP_izzat_bin_saad8@dummyemail.test,Pegawai Tadbir dan Diplomatik,B,20
960918044871,12345,Penyelaras Kursus/Pe,enabled,Mahavir Chatterjee,Bahagian Istiadat dan Protokol,BIP_mahavir_chatterjee9@dummyemail.test,Setiausaha Sulit Kanan,S,28
991116033231,12345,Staf,enabled,Li Wong,Bahagian Istiadat dan Protokol,BIP_li_wong10@dummyemail.test,Pembantu Khas,Y,31
