No. Kad Pengenalan,Kata Laluan,Peranan,Status,Nama Penuh,Agensi,Email,Jawatan,Skim,Gred
030701018285,12345,Penyelaras Kursus/Pe,enabled,Jamal bin Afiq,Institut Latihan Sektor Awam Negeri,jamal_bin_afiq1@dummyemail.test,Pembantu Operasi,Z,02
970913019550,12345,Ketua Jabatan,enabled,Vasant Mudartha,Institut Latihan Sektor Awam Negeri,vasant_mudartha2@dummyemail.test,Pegawai Tugas-Tugas Khas,C,49
950104044646,12345,Staf,enabled,Ravindra Khan,Institut Latihan Sektor Awam Negeri,ravindra_khan3@dummyemail.test,Pembantu Operasi,C,28
031017133215,12345,Ketua Bahagian,enabled,Jia Hao Ko,Institut Latihan Sektor Awam Negeri,jia_hao_ko4@dummyemail.test,Pegawai Tadbir,JUSA,99
950817113164,12345,Pentadbir Agensi,enabled,Guo Seng,Institut Latihan Sektor Awam Negeri,guo_seng5@dummyemail.test,Setiausaha Sulit,X,41
940301021458,12345,Staf,enabled,Gautam Bai,Institut Latihan Sektor Awam Negeri,gautam_bai6@dummyemail.test,Pembantu Tadbir Operasi,V,25
980414136129,12345,Staf,enabled,Fang Au,Institut Latihan Sektor Awam Negeri,fang_au7@dummyemail.test,Pembantu Tadbir Operasi,B,19
010314038400,12345,Setiausaha Tetap,enabled,Syahirah binti Faris,Institut Latihan Sektor Awam Negeri,syahirah_binti_faris8@dummyemail.test,Pegawai Rendah Polis dan Konstabel,M,37
001010109884,12345,Penyelia,enabled,Khadijah binti Fahmi,Institut Latihan Sektor Awam Negeri,khadijah_binti_fahmi9@dummyemail.test,Pembantu Setiausaha Pejabat,Q,15
990524136796,12345,Staf,enabled,Roopitha Paramar,Institut Latihan Sektor Awam Negeri,roopitha_paramar10@dummyemail.test,Pembantu Khas,M,54
