No. Kad Pengenalan,Kata Laluan,Peranan,Status,Nama Penuh,Agensi,Email,Jawatan,Skim,Gred
990709134006,123456,Ketua Jabatan,enabled,Alyana binti Iman,Institut Latihan Sektor Awam Negeri,alyana_binti_iman1@dummyemail.test,Setiausaha Politik,K,29
020521099668,123456,Ketua Bahagian,enabled,Adrika Rathod,Institut Latihan Sektor Awam Negeri,adrika_rathod2@dummyemail.test,Penolong Pegawai Tadbir,O,41
021109100157,123456,Staf,enabled,Farhan bin Jamal,Institut Latihan Sektor Awam Negeri,farhan_bin_jamal3@dummyemail.test,Setiausaha Sulit,X,28
010223025518,123456,Staf,enabled,Mingze Meng,Institut Latihan Sektor Awam Negeri,mingze_meng4@dummyemail.test,Pemandu Kenderaan,F,16
970119109107,123456,Penyelaras Kursus/Pe,enabled,Ismail bin Hayder,Institut Latihan Sektor Awam Negeri,ismail_bin_hayder5@dummyemail.test,Ketua Audit Dalam,K,55
970228041463,123456,Penyelia,enabled,Lingyin Kuan,Institut Latihan Sektor Awam Negeri,lingyin_kuan6@dummyemail.test,Setiausaha Akhbar,M,15
950816069426,123456,Staf,enabled,Qian Hong,Institut Latihan Sektor Awam Negeri,qian_hong7@dummyemail.test,Pemandu Kenderaan,Q,04
981202106245,123456,Pentadbir System,enabled,Najiha binti Amirul,Institut Latihan Sektor Awam Negeri,najiha_binti_amirul8@dummyemail.test,Penolong Juruaudi,S,32
951028057844,123456,Setiausaha Tetap,enabled,Xiao Dun Bok,Institut Latihan Sektor Awam Negeri,xiao_dun_bok9@dummyemail.test,Pegawai Tugas-Tugas Khas,N,31
010922133180,123456,Staf,enabled,Jiahao Lai,Institut Latihan Sektor Awam Negeri,jiahao_lai10@dummyemail.test,Ketua Audit Dalam,C,10
990425027190,123456,Ketua Jabatan,enabled,Chow Yueling,Bahagian Istiadat dan Protokol,chow_yueling9@dummyemail.test,Penolong Pegawai Tadbir,B,99
970331085601,123456,Ketua Bahagian,enabled,Syahirah binti Jamaluddin,Bahagian Istiadat dan Protokol,syahirah_binti_jamaluddin8@dummyemail.test,Juruaudit,H,55
970101013052,123456,Setiausaha Tetap,enabled,Mahto Vishnu,Bahagian Istiadat dan Protokol,mahto_vishnu7@dummyemail.test,Setiausaha Sulit Kanan,O,37
030703089047,123456,Pentadbir System,enabled,Sarah binti Sulong,Bahagian Istiadat dan Protokol,sarah_binti_sulong4@dummyemail.test,Menteri,M,39
951202042585,123456,Penyelaras Kursus/Pe,enabled,Hirdawati binti Jamaluddin,Bahagian Istiadat dan Protokol,hirdawati_binti_jamaluddin2@dummyemail.test,Ketua Setiausaha,M,45
960913045232,123456,Penyelia,enabled,Leung Meirong,Bahagian Istiadat dan Protokol,leung_meirong1@dummyemail.test,Pegawai Tugas-Tugas Khas,J,25
950207148221,123456,Staf,enabled,Ban Dan,Bahagian Istiadat dan Protokol,ban_dan3@dummyemail.test,Pembantu Operasi,B,16
011213055681,123456,Staf,enabled,Alyana binti Jamaluddin,Bahagian Istiadat dan Protokol,alyana_binti_jamaluddin5@dummyemail.test,Setiausaha Sulit Kanan,J,20
960716093837,123456,Staf,enabled,Saad bin Abdullah,Bahagian Istiadat dan Protokol,saad_bin_abdullah6@dummyemail.test,Jawatan Hakiki Pembantu Setiausaha Pejabat,C,10
950212037210,123456,Staf,enabled,Hanas bin Andika,Bahagian Istiadat dan Protokol,hanas_bin_andika10@dummyemail.test,Pegawai Undang-Undang,L,28
990116052428,123456,Ketua Jabatan,enabled,Teo Haoran,Bahagian Kabinet dan Dasar,teo_haoran7@dummyemail.test,Pemandu Kenderaan,JUSA,99
960408042231,123456,Ketua Bahagian,enabled,Tiong Li,Bahagian Kabinet dan Dasar,tiong_li1@dummyemail.test,Konstabel/Lans Koperal/Koperal,Q,54
020228073237,123456,Setiausaha Tetap,enabled,Alyah binti Abdul Rahim,Bahagian Kabinet dan Dasar,alyah_binti_abdul_rahim3@dummyemail.test,Konstabel/Lans Koperal/Koperal,W,35
980718038228,123456,Pentadbir System,enabled,Melati binti Shamsuddin,Bahagian Kabinet dan Dasar,melati_binti_shamsuddin8@dummyemail.test,Pembantu Operasi,S,37
951208062819,123456,Penyelaras Kursus/Pe,enabled,Bong Zhi Peng,Bahagian Kabinet dan Dasar,bong_zhi_peng6@dummyemail.test,Setiausaha Politik,Z,52
950623028686,123456,Penyelia,enabled,Anggerik binti Jamal,Bahagian Kabinet dan Dasar,anggerik_binti_jamal4@dummyemail.test,Pegawai Rendah Polis dan Konstabel,L,32
020507148796,123456,Staf,enabled,Shahrul bin Ismail,Bahagian Kabinet dan Dasar,shahrul_bin_ismail2@dummyemail.test,Ketua Setiausaha,P,15
961225039046,123456,Staf,enabled,Woon Kai,Bahagian Kabinet dan Dasar,woon_kai5@dummyemail.test,Pegawai Tadbir,Y,11
970223019114,123456,Staf,enabled,Wan Meihua,Bahagian Kabinet dan Dasar,wan_meihua9@dummyemail.test,Pegawai Tadbir,J,27
030824087353,123456,Staf,enabled,Siew Yuelan,Bahagian Kabinet dan Dasar,siew_yuelan10@dummyemail.test,Pegawai Tadbir dan Diplomatik,P,10
