No. Kad Pengenalan,Kata Laluan,Peranan,Status,Nama Penuh,Agensi,Email,Jawatan,Skim,Gred
990116052428,123456,Ketua Jabatan,enabled,Teo Haoran,Bahagian Kabinet dan Dasar,teo_haoran7@dummyemail.test,Pemandu Kenderaan,JUSA,99
960408042231,123456,Ketua Bahagian,enabled,Tiong Li,Bahagian Kabinet dan Dasar,tiong_li1@dummyemail.test,Konstabel/Lans Koperal/Koperal,Q,54
020228073237,123456,Setiausaha Tetap,enabled,Alyah binti Abdul Rahim,Bahagian Kabinet dan Dasar,alyah_binti_abdul_rahim3@dummyemail.test,Konstabel/Lans Koperal/Koperal,W,35
980718038228,123456,Pentadbir System,enabled,Melati binti Shamsuddin,Bahagian Kabinet dan Dasar,melati_binti_shamsuddin8@dummyemail.test,Pembantu Operasi,S,37
951208062819,123456,Penyelaras Kursus/Pe,enabled,Bong Zhi Peng,Bahagian Kabinet dan Dasar,bong_zhi_peng6@dummyemail.test,Setiausaha Politik,Z,52
950623028686,123456,Penyelia,enabled,Anggerik binti Jamal,Bahagian Kabinet dan Dasar,anggerik_binti_jamal4@dummyemail.test,Pegawai Rendah Polis dan Konstabel,L,32
020507148796,123456,Staf,enabled,Shahrul bin Ismail,Bahagian Kabinet dan Dasar,shahrul_bin_ismail2@dummyemail.test,Ketua Setiausaha,P,15
961225039046,123456,Staf,enabled,Woon Kai,Bahagian Kabinet dan Dasar,woon_kai5@dummyemail.test,Pegawai Tadbir,Y,11
970223019114,123456,Staf,enabled,Wan Meihua,Bahagian Kabinet dan Dasar,wan_meihua9@dummyemail.test,Pegawai Tadbir,J,27
030824087353,123456,Staf,enabled,Siew Yuelan,Bahagian Kabinet dan Dasar,siew_yuelan10@dummyemail.test,Pegawai Tadbir dan Diplomatik,P,10
