No. Kad Pengenalan,Kata Laluan,Peranan,Status,Nama Penuh,Agensi,Email,Jawatan,Skim,Gred
990525125501,12345,Staf,enabled,Xing Tung,Bahagian Istiadat dan Protokol,BIP_xing_tung1@dummyemail.test,Pembantu Setiausaha Pejabat,G,54
981118021370,12345,Penyelia,enabled,Alesa Tendulkar,Bahagian Istiadat dan Protokol,BIP_alesa_tendulkar2@dummyemail.test,Pembantu Tadbir Perkeranian,E,47
970321017844,12345,Penyelia,enabled,Rong OuYang,Bahagian Istiadat dan Protokol,BIP_rong_ouyang3@dummyemail.test,Pembantu Setiausaha Pejabat,O,54
981122144673,12345,Penyelaras Kursus/Pe,enabled,Johan bin Danial,Bahagian Istiadat dan Protokol,BIP_johan_bin_danial4@dummyemail.test,Pegawai Tadbir dan Diplomatik,C,29
020528114733,12345,Staf,enabled,Meizhen Wong,Bahagian Istiadat dan Protokol,BIP_meizhen_wong5@dummyemail.test,Setiausaha Politik,JUSA,30
970921049036,12345,Ketua Bahagian,enabled,Ismail bin Ismail,Bahagian Istiadat dan Protokol,BIP_ismail_bin_ismail6@dummyemail.test,Pegawai Tadbir dan Diplomatik,C,19
981122036502,12345,Staf,enabled,Gang Mak,Bahagian Istiadat dan Protokol,BIP_gang_mak7@dummyemail.test,Menteri,D,56
010814118744,12345,Penyelaras Kursus/Pe,enabled,Priyal Patel,Bahagian Istiadat dan Protokol,BIP_priyal_patel8@dummyemail.test,Pembantu Setiausaha Pejabat,P,07
990917072859,12345,Setiausaha Tetap,enabled,Salwa binti Megat,Bahagian Istiadat dan Protokol,BIP_salwa_binti_megat9@dummyemail.test,Khas Untuk Penyandang,Q,40
000525095697,12345,Staf,enabled,Zixin Yow,Bahagian Istiadat dan Protokol,BIP_zixin_yow10@dummyemail.test,Pembantu Tadbir Perkeranian,N,31
021123113474,12345,Staf,enabled,Zimo Lau,Bahagian Istiadat dan Protokol,BIP_zimo_lau11@dummyemail.test,Penolong Pegawai Tadbir,P,22
021229101665,12345,Penyelia,enabled,Harishata Kapoor,Bahagian Istiadat dan Protokol,BIP_harishata_kapoor12@dummyemail.test,Penolong Pegawai Tadbir,M,55
990709094517,12345,Penyelia,enabled,Yueming Wong,Bahagian Istiadat dan Protokol,BIP_yueming_wong13@dummyemail.test,Menteri,L,53
960323097435,12345,Staf,enabled,Manish Kumari,Bahagian Istiadat dan Protokol,BIP_manish_kumari14@dummyemail.test,Pegawai Tadbir dan Diplomatik,R,20
030228123437,12345,Penyelaras Kursus/Pe,enabled,Haoran Tong,Bahagian Istiadat dan Protokol,BIP_haoran_tong15@dummyemail.test,Pegawai Tadbir dan Diplomatik,V,26
940324053493,12345,Staf,enabled,Nurul Huda binti Hakim,Bahagian Istiadat dan Protokol,BIP_nurul_huda_binti_hakim16@dummyemail.test,Pegawai Rendah Polis dan Konstabel,O,56
990106129522,12345,Penyelaras Kursus/Pe,enabled,Khadijah binti Arif,Bahagian Istiadat dan Protokol,BIP_khadijah_binti_arif17@dummyemail.test,Pembantu Khas,O,24
951102078348,12345,Setiausaha Tetap,enabled,Shahrul bin Luqman,Bahagian Istiadat dan Protokol,BIP_shahrul_bin_luqman18@dummyemail.test,Pegawai Undang-Undang,D,22
960131123419,12345,Staf,enabled,Kumar Agrawal,Bahagian Istiadat dan Protokol,BIP_kumar_agrawal19@dummyemail.test,Khas Untuk Penyandang,S,33
000911110250,12345,Pentadbir Agensi,enabled,Kumar Kaur,Bahagian Istiadat dan Protokol,BIP_kumar_kaur20@dummyemail.test,Setiausaha Pejabat,M,29
940622050453,12345,Penyelia,enabled,Yuexin Low,Bahagian Istiadat dan Protokol,BIP_yuexin_low21@dummyemail.test,Pemandu Kenderaan,V,20
980318104808,12345,Penyelia,enabled,Linda binti Jamal,Bahagian Istiadat dan Protokol,BIP_linda_binti_jamal22@dummyemail.test,Setiausaha Akhbar,U,16
000615018520,12345,Staf,enabled,Tanmiyi Mondal,Bahagian Istiadat dan Protokol,BIP_tanmiyi_mondal23@dummyemail.test,Pegawai Undang-Undang,W,28
970628120752,12345,Setiausaha Tetap,enabled,Ming Hong,Bahagian Istiadat dan Protokol,BIP_ming_hong24@dummyemail.test,Pegawai Rendah Polis dan Konstabel,D,11
990111134095,12345,Staf,enabled,Hui Fen Pang,Bahagian Istiadat dan Protokol,BIP_hui_fen_pang25@dummyemail.test,Setiausaha Akhbar,J,38
931214020110,12345,Penyelia,enabled,Mayang Ma,Bahagian Istiadat dan Protokol,BIP_mayang_ma26@dummyemail.test,Menteri,Y,08
000331148132,12345,Penyelia,enabled,Meixiang Khor,Bahagian Istiadat dan Protokol,BIP_meixiang_khor27@dummyemail.test,Pemandu Kenderaan,T,23
000226039741,12345,Staf,enabled,Afiq bin Syafiq,Bahagian Istiadat dan Protokol,BIP_afiq_bin_syafiq28@dummyemail.test,Penolong Pegawai Tadbir,H,46
931228112136,12345,Ketua Jabatan,enabled,Muhammad bin Najib,Bahagian Istiadat dan Protokol,BIP_muhammad_bin_najib29@dummyemail.test,Penolong Pegawai Tadbir,I,50
020221047286,12345,Setiausaha Tetap,enabled,Meihua Teo,Bahagian Istiadat dan Protokol,BIP_meihua_teo30@dummyemail.test,Setiausaha Sulit Kanan,B,50
000105124948,12345,Staf,enabled,Yahvi Mandal,Bahagian Istiadat dan Protokol,BIP_yahvi_mandal31@dummyemail.test,Khas Untuk Penyandang,O,31
940306121731,12345,Staf,enabled,Amin bin Jamal,Bahagian Istiadat dan Protokol,BIP_amin_bin_jamal32@dummyemail.test,Setiausaha Politik,X,42
970110122154,12345,Penyelaras Kursus/Pe,enabled,Qian Chua,Bahagian Istiadat dan Protokol,BIP_qian_chua33@dummyemail.test,Penolong Juruaudi,J,16
941111057259,12345,Staf,enabled,Sundar Chopra,Bahagian Istiadat dan Protokol,BIP_sundar_chopra34@dummyemail.test,Pembantu Khas,V,22
980918114942,12345,Staf,enabled,Cempaka binti Afiq,Bahagian Istiadat dan Protokol,BIP_cempaka_binti_afiq35@dummyemail.test,Setiausaha Pejabat,P,35
030417018399,12345,Penyelia,enabled,Vaya Reddy,Bahagian Istiadat dan Protokol,BIP_vaya_reddy36@dummyemail.test,Setiausaha Sulit,Z,56
961024045482,12345,Ketua Bahagian,enabled,Lingyin Sin,Bahagian Istiadat dan Protokol,BIP_lingyin_sin37@dummyemail.test,Pegawai Tadbir dan Diplomatik,I,14
000817123903,12345,Penyelia,enabled,Amin bin Adiwira,Bahagian Istiadat dan Protokol,BIP_amin_bin_adiwira38@dummyemail.test,Setiausaha Sulit,L,29
990723093121,12345,Staf,enabled,Wei Kia,Bahagian Istiadat dan Protokol,BIP_wei_kia39@dummyemail.test,Penolong Juruaudi,O,51
950623127172,12345,Staf,enabled,Yuelan Cheng,Bahagian Istiadat dan Protokol,BIP_yuelan_cheng40@dummyemail.test,Pegawai Tugas-Tugas Khas,V,52
