"user_profile_id","user_profile_user_id","user_profile_name","user_profile_surname","user_profile_email","user_profile_user_status_code","user_profile_matricno","user_profile_program","user_profile_country","user_profile_mode","user_profile_got","user_profile_research","user_profile_lastaccess","user_profile_added","user_profile_edited","user_profile_added_by","user_profile_edited_by","user_profile_jawatan","user_profile_gred","user_profile_agency","user_profile_grade","user_profile_scheme"
"1","1","Ultra","Administrator","ultraadmin@test.com","1",NULL,NULL,NULL,NULL,NULL,NULL,"1730013079","1310827985","1479875506","0","1",NULL,NULL,NULL,,
"2","2","AHMAD","ahmad","ahmad@yahoo.com","1",NULL,NULL,NULL,NULL,"no",NULL,"1711499182","1560325416","1729844903","1","3","Testing Officer","N41","30",,
"3","3","SuperAdmin","Admin","superadmin@test.com","1",NULL,NULL,NULL,NULL,"no",NULL,"1730017010","1711501591","1713423435","1","3",,NULL,"22","44","F"
"13","14","Name Test",NULL,"email@test.com","1",NULL,NULL,NULL,NULL,"no",NULL,NULL,"1729645809","1729645843","1","3","Jawatan Test",NULL,"31","06","E"
"14","15","Yue Kong",NULL,"yue_kong1@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,NULL,"1729658744",NULL,"1",NULL,"Setiausaha Pejabat",NULL,"56","12","C"
"15","16","Krishna Rai",NULL,"krishna_rai1@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,"1729734759","1729669775",NULL,"1",NULL,"Pegawai Tadbir",NULL,"51","01","U"
"16","17","Hui Ling",NULL,"hui_ling2@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,"1729845127","1729669807",NULL,"1",NULL,"Pembantu Operasi",NULL,"68","06","D"
"17","18","Zhi Peng Tiong",NULL,"zhi_peng_tiong3@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,"1730015845","1729669836","1729740870","1","3","Juruaudit",NULL,"26","99","JUSA"
"18","19","Nisa binti Bakar",NULL,"nisa_binti_bakar4@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,"1729681913","1729670010","1730017641","1","3","Pembantu Setiausaha Pejabat",NULL,"50","27","M"
"19","20","Prabhakar Sahu",NULL,"prabhakar_sahu5@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,"1729844559","1729670087",NULL,"1",NULL,"Jawatan Hakiki Pembantu Setiausaha Pejabat",NULL,"58","19","X"
"20","21","Dilip Mondal",NULL,"dilip_mondal6@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,"1729844486","1729670181",NULL,"1",NULL,"Pembantu Tadbir Perkeranian",NULL,"35","23","L"
"21","22","Yue Gan",NULL,"yue_gan7@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,NULL,"1729670210",NULL,"1",NULL,"Pegawai Rendah Polis dan Konstabel",NULL,"48","54","S"
"22","23","Yuxuan Gong",NULL,"yuxuan_gong8@dummyemail.test","1",NULL,NULL,NULL,NULL,"no",NULL,NULL,"1729670260","1730017403","1","3","Pegawai Rendah Polis dan Konstabel",NULL,"73","52","D"
